,reviews,stars,date,country,verified,corpus
524,"✅ Trip Verified | British Airways is taking reservations and then cancelling flights without giving any reasons. We had further plans that all needed to be cancelled because of the flights. BA did nothing to ease the process and offered absolutely no explanation of why the flight was cancelled, I am not going to travel on BA again and may not travel again this year at all.",9.0,2021-12-08,United Kingdom,True,british airway taking reservation cancelling flight without giving reason plan needed cancelled flight ba nothing ease process offered absolutely explanation flight cancelled going travel ba may travel year
525,"✅ Trip Verified |  I have a flight booked for January 2022, they send me an email at the beginning of December informing me that my flight was changed. My second flight was moved to the next day, making my layover 26 hours, called them, was told to just cancel. What kind of answer is that? I mean I still need to fly to where I am going, and booking with another airline closer to the day I am flying will be more expensive. It is a very big inconvenience for me and I don't even get an apology, just cancel!",2.0,2021-12-06,United States,True,flight booked january send email beginning december informing flight changed second flight moved next day making layover hour called told cancel kind answer mean still need fly going booking another airline closer day flying expensive big inconvenience even get apology cancel
527,"✅ Trip Verified |  Extremely disappointed In trip experience. I am Gold MVP 100,000+ miler with Alaska Airlines. My ticket and travel wasnt linked with Alaska Airlines. When speaking with Alaska representative, they confirmed it was due to lack of effort on British Airways In accomplishing this task. I could over look the lack of effort on this even though frustrating. The Main issue is the ticketing and Flt connection process.  I departed Egypt this morning with connecting tickets in hand. Once I arrived in USA apparently my Alaska (AS 2449) flt was changed to a 5 hour later flight with a completely different airline (Delta). Who does that without notifying the customer. I found this out when trying to go through security In Seattle, they said my ticket was not valid. I had to go to Alaska Airline to find out What the issue was. They explained British Airways had rebooked with Delta. This took about 30mins with customer Service. Then i had to go to Delta to sort the mess out. I am so frustrated.",1.0,2021-11-29,United States,True,extremely disappointed trip experience gold mvp miler alaska airline ticket travel wasnt linked alaska airline speaking alaska representative confirmed due lack effort british airway accomplishing task could look lack effort even though frustrating main issue ticketing flt connection process departed egypt morning connecting ticket hand arrived usa apparently alaska flt changed hour later flight completely different airline delta without notifying customer found trying go security seattle said ticket valid go alaska airline find issue explained british airway rebooked delta took min customer service go delta sort mess frustrated
528,"✅ Trip Verified |  British Airways seems happy to encourage the spread of Covid. Took the 7am flight from T5 at Heathrow to Paris CDG on 22nd November, which was boarded by bus from a remote gate. The bus driver insisted on packing the bus to its maximum possible load, standing by the door and telling customers to squeeze right up and he was not leaving the terminal until the bus was full. The result was that passengers in the bus were packed tight and the maximum facial distancing was about 15cms! A second coach to the aircraft followed just a few minutes later and had about 15 customers on it. It is shameful that BA ground staff exercise no control and did nothing to check the bus boarding process, and whilst the flight was okay, this serves to underline how BA seem happy to disregard any Covid-19 safety protocols in the airport environment. In contrast, on recent Air France and Iberia flights, their ground staff are much more disciplined and actually try to control customers. Maybe this underlines the very laissez faire attitude to Covid that now prevails in the UK. ",2.0,2021-11-27,United Kingdom,True,british airway seems happy encourage spread covid took flight heathrow paris cdg nd november boarded bus remote gate bus driver insisted packing bus maximum possible load standing door telling customer squeeze right leaving terminal bus full result passenger bus packed tight maximum facial distancing cm second coach aircraft followed minute later customer shameful ba ground staff exercise control nothing check bus boarding process whilst flight okay serf underline ba seem happy disregard covid safety protocol airport environment contrast recent air france iberia flight ground staff much disciplined actually try control customer maybe underline laissez faire attitude covid prevails uk
529,✅ Trip Verified |  I was refused an early check in and was told to come back at 2:30pm for a 5.05pm departure. There was no staff until 2:45 and both staff members were very inexperienced with poor attitude taking up a lot of time for each passenger.,3.0,2021-11-25,Australia,True,refused early check told come back pm pm departure staff staff member inexperienced poor attitude taking lot time passenger
530,"✅ Trip Verified | Check in was ok, all documents were scanned without problems. The flight was delayed by 50 minutes due to crew members been stuck on the M25. Not the airlines fault. 3 replacement crew where found and boarding onto a new A321 neo went ahead. The club Europe cabin was 12 rows of economy seats with the middle seat blocked off. For me at 5.11 tall, I can fit ok, however anyone taller than me might struggle with limited leg room. The inflight service was a a stop - start affair, nothing to write home about. The crew failed to work as a team. You had to go to the galley to get extra drinks. I was even served cool coffee with filter paper in the bottom of the cup. Landing and disembarking went without a hitch and included a bus ride to the terminal. Not BA's finest hour.",1.0,2021-11-25,United Kingdom,True,check ok document scanned without problem flight delayed minute due crew member stuck airline fault replacement crew found boarding onto new neo went ahead club europe cabin row economy seat middle seat blocked tall fit ok however anyone taller might struggle limited leg room inflight service stop start affair nothing write home crew failed work team go galley get extra drink even served cool coffee filter paper bottom cup landing disembarking went without hitch included bus ride terminal ba finest hour
531,"✅ Trip Verified | Arrived at the South airport in Tenerife 2 hours before departure, Iberia had not opened the check in. Even with a full flight waiting, the usual check in process post COVID took place, with the usual errors in the paperwork slowing things down. Passing security was fine and Iberia had a lounge with 160 person capacity to serve drinks and a simple selection of cold food. Boarding was done by a 15 meter long bus ride as the plane was parked at the gate. Not sure why. The plane was a very new A321 neo, with 14 rows of club seating. The seat was ok for a 4 hour flight, but anything longer and I would expect club Europe to have more leg room than the couple of inch’s between my knee and the seat in front. Food and drink where very good, served with steel cutlery and glass tumblers. Good selection of wine to go with a above average salad. Overall it was an OK experience with a great cabin crew.",1.0,2021-11-24,United Kingdom,True,arrived south airport tenerife hour departure iberia opened check even full flight waiting usual check process post covid took place usual error paperwork slowing thing passing security fine iberia lounge person capacity serve drink simple selection cold food boarding done meter long bus ride plane parked gate sure plane new neo row club seating seat ok hour flight anything longer would expect club europe leg room couple inch knee seat front food drink good served steel cutlery glass tumbler good selection wine go average salad overall ok experience great cabin crew
532,"Not Verified |  Check-in very slow. No app check-in and could not check my vaccine QR code online. Check in staff friendly but too few of them. BA Silver card holder and no Stockholm lounge  to use. Boarding fine, but plane was worn out. Seats close together and row 30 even worse.  Crew really professional and happy it seemed. Arrival at Heathrow a total shambles. BA777 landed at 12.50, no gate so waited and waited for 25 minutes. Then BA jetty didn’t work. Then BA had no steps. Very slow to leave plane as only moderately mobile wheelchair passengers struggle down the steps. Everyone was very patient and supportive but it was terrible to watch. So BA skimping on lounge, plane condition and gate. Crew good, seats very uncomfortable.",1.0,2021-11-20,Sweden,False,verified check slow app check could check vaccine qr code online check staff friendly ba silver card holder stockholm lounge use boarding fine plane worn seat close together row even worse crew really professional happy seemed arrival heathrow total shamble ba landed gate waited waited minute ba jetty work ba step slow leave plane moderately mobile wheelchair passenger struggle step everyone patient supportive terrible watch ba skimping lounge plane condition gate crew good seat uncomfortable
533,"✅ Trip Verified |  After 1h queuing at the check-in desk, I am told that my booked seat is not available. Why do you sell seats that you do not have?",2.0,2021-11-19,United Kingdom,True,h queuing check desk told booked seat available sell seat
534,"Not Verified |  Outbound, seated in row 10, I was told they had run out of my chosen food option (shepherd's pie), so I had to settle for gnocchi. The steward had the temerity to blame the food supplier - as if BA could not get a better one! On the return, boarding from the back, not by priority, then, seated in row 12, I had the last half glass of champagne (only because one of the other passengers in row 12 had declined). Food was rigatoni with vegetables. Overall, penny pinching by BA in club class. Dreadful - not for us again.",4.0,2021-11-15,United Kingdom,False,verified outbound seated row told run chosen food option shepherd pie settle gnocchi steward temerity blame food supplier ba could get better one return boarding back priority seated row last half glass champagne one passenger row declined food rigatoni vegetable overall penny pinching ba club class dreadful u
535,"✅ Trip Verified |  Flew Club Europe London - Tenerife South 5 November and returned 12 November. Club Europe seats are not comfortable - you pay a lot more for exactly the same leg room but have the middle seat of 3 empty to spread out a tiny bit. For the fare I would hope for at least a couple more inches of leg room - it would make a huge difference. We did at least get a meal (outbound cottage pie and inbound sausage and mash) which were not too bad and a drinks service. However, on the inbound BA had no white wine - apparently there is a problem with their suppliers. Did not pre-book seats due to the extortionate fees for pre booking. Just about any other airline will not charge for pre booking a seat if you are in premium classes. Back to the flights: both in a new, or nearly near A320, both very smooth with no timing issues at all so all good in that respect. Not a good check in experience at Tenerife South - just tacked onto the end of a large Tui check in queue. Also not a great lounge - the VIP lounge is merely adequate with OK seating for an hour or two. I would only just about recommend - there are still reservations about exactly what BA is trying to become.",1.0,2021-11-15,United Kingdom,True,flew club europe london tenerife south november returned november club europe seat comfortable pay lot exactly leg room middle seat empty spread tiny bit fare would hope least couple inch leg room would make huge difference least get meal outbound cottage pie inbound sausage mash bad drink service however inbound ba white wine apparently problem supplier pre book seat due extortionate fee pre booking airline charge pre booking seat premium class back flight new nearly near smooth timing issue good respect good check experience tenerife south tacked onto end large tui check queue also great lounge vip lounge merely adequate ok seating hour two would recommend still reservation exactly ba trying become
536,"✅ Trip Verified | 3 hours standing in line for boarding pass. Airline would not allow me to obtain boarding pass electronically. Then they said the flight was overbooked so my adult daughter got bumped from the flight. And yes, we used VeriFLY. My flight is now delayed for at least 30 minutes. They are so unorganized and slow! Getting a seat in advanced is not performed like other airlines. You have to wait even though I paid for it. Avoid this airline at all costs! Absolute worst!",6.0,2021-11-14,United States,True,hour standing line boarding pas airline would allow obtain boarding pas electronically said flight overbooked adult daughter got bumped flight yes used verifly flight delayed least minute unorganized slow getting seat advanced performed like airline wait even though paid avoid airline cost absolute worst
537,"✅ Trip Verified | I have been trying to get a hold of BA to change my return flight for the past week now. I cant change online because I'm flying out of another city so the service is unavailable online. I've tried live chat several times and waited 2.5 hours only to be told there's no one available (during business hours). I have tried calling and the line always drops from their end. Customer service is non existent. However, of course if you call the ""new booking"" line someone immediately picks up of course, however they can't help me nor put me through to anyone apparently. Shambolic excuse of an airline that doesn't deserve to be a national airline. I haven't had these problems at all and I've been flying throughout covid (for work unfortunately). It's been easier to change my flights with domestic Latin American Airlines and I don't even speak Spanish. ",8.0,2021-11-13,United Kingdom,True,trying get hold ba change return flight past week cant change online flying another city service unavailable online tried live chat several time waited hour told one available business hour tried calling line always drop end customer service non existent however course call new booking line someone immediately pick course however help put anyone apparently shambolic excuse airline deserve national airline problem flying throughout covid work unfortunately easier change flight domestic latin american airline even speak spanish
538,"✅ Trip Verified |  This whole experience was sickening, over 3.5 grand spent on the holiday and their customer service is a shambles. Drop down menu to drop down menu not stating what I wanted to complain about. Would not even allow me to add tier points. The flight to London was marred with problems. In London we received an upgrade email to fast track and VIP lounges due to amount spent. This never happened and treated as paupers wherever we showed the email. We had to change planes to the other side of the airfield. The resort (Riu Paradise Beach) was riddled with bad food, drugs and bad attitude and when you complained you were fobbed off as they knew there was no BA staff to sound off too. The return journey was a shambles and more delays finally arriving back at Manchester completely exhausted and needing another holiday. There is light at the end of this horrid tunnel Virgin Atlantic have just started the same route from this month. Now we all know this is a better option.",2.0,2021-11-13,United Kingdom,True,whole experience sickening grand spent holiday customer service shamble drop menu drop menu stating wanted complain would even allow add tier point flight london marred problem london received upgrade email fast track vip lounge due amount spent never happened treated pauper wherever showed email change plane side airfield resort riu paradise beach riddled bad food drug bad attitude complained fobbed knew ba staff sound return journey shamble delay finally arriving back manchester completely exhausted needing another holiday light end horrid tunnel virgin atlantic started route month know better option
539,"Not Verified |  Poorly mismanaged services this time. Disappointed with the huge queues due to unavailability of attendants at the counters, had to wait around 1.5 hours just to check in. Then came the boarding, again had to wait at the passage for 15-30 mins. Finally when we thought things are better now, on reaching London our next boarding pass was not scanned. Around 15-20 passengers including me had to wait from 7.45 am until 1.40 am for the next flight. On boarding the next flight, no space to keep the luggage. Journey was really hectic and did not expect this from BA.",1.0,2021-11-10,Ireland,False,verified poorly mismanaged service time disappointed huge queue due unavailability attendant counter wait around hour check came boarding wait passage min finally thought thing better reaching london next boarding pas scanned around passenger including wait next flight boarding next flight space keep luggage journey really hectic expect ba
540,Not Verified |  Currently dreading my flight with BA considering they have hung up on me and mum on the customer service line twice now and will not reply via the so called “Live Chat”. All we wanted to find out was how there were two flights booked under my mums name plus a flight for my dad and not one for me. We just wanted to be able to make a name change. Absolutely impossible. Their website is unusable. Their customer service is a shambles. They couldn’t change the name. Told me that we should’ve done the booking more carefully. Well you’re going to have these people making mistakes. So maybe change your website so that we can make changes to our flights. Like hello it’s the 21st century. You should have a button saying “Change name”. Anyways not the point. The woman on the phone started raising her voice at us because she wasn’t making it clear on what to do. Then when I gave up towards the end of the call I just said “thanks for your help I’ll deal with it la-“ got cut off. 50 minutes and got nothing. All I can say is good luck.,1.0,2021-11-07,United Kingdom,False,verified currently dreading flight ba considering hung mum customer service line twice reply via called live chat wanted find two flight booked mum name plus flight dad one wanted able make name change absolutely impossible website unusable customer service shamble change name told done booking carefully well going people making mistake maybe change website make change flight like hello st century button saying change name anyways point woman phone started raising voice u making clear gave towards end call said thanks help deal la got cut minute got nothing say good luck
541,✅ Trip Verified | Another BA shuttle flight and a good one. Fantastic flying weather and I would say a 40% load factor. Good professional crew. Friendly and complimentary snack arrived early so now worries. And getting to the A gates at T5 makes for an easy exit. Still a cut above their competitors although a bit more expensive they make up for that in total product delivery.,5.0,2021-11-06,United Kingdom,True,another ba shuttle flight good one fantastic flying weather would say load factor good professional crew friendly complimentary snack arrived early worry getting gate make easy exit still cut competitor although bit expensive make total product delivery
543,"✅ Trip Verified |  Upon checking in at the Club desk in Lisbon airport our Passenger Locator Forms were found to have an incorrect reference number for our Day 2 test and the check in agent denied us boarding, causing my wife, who had recently spent some long time in hospital in the U.K., much distress. He was only doing his job of course, but we requested him to call a Supervisor. The Check in Manager, Goncalo Ribeiro, came to our rescue.  Not only did he identify the problem but spent half an hour of his time arranging a new supplier for our Day 2 test, uploading it onto our PLF’s, verifying our flight documentation and fast tracking us through check-in. He was at the Gate on boarding to wish us a comfortable journey; we could not have asked for better service. He was a very professional ambassador for BA!",2.0,2021-10-29,United Kingdom,True,upon checking club desk lisbon airport passenger locator form found incorrect reference number day test check agent denied u boarding causing wife recently spent long time hospital u k much distress job course requested call supervisor check manager goncalo ribeiro came rescue identify problem spent half hour time arranging new supplier day test uploading onto plf verifying flight documentation fast tracking u check gate boarding wish u comfortable journey could asked better service professional ambassador ba
544,"✅ Trip Verified | Club Europe on British Airways. Outstanding and wonderful to have BA back. The welcome on board was warm and sincere. Flight attendants helpful, friendly and professional. Great updates from the flight deck. Super lunch and good choice of wines. BA at its best. Hopefully this excellence is also a reflection of a new CEO with the departure of Alex Cruz.",2.0,2021-10-29,United Kingdom,True,club europe british airway outstanding wonderful ba back welcome board warm sincere flight attendant helpful friendly professional great update flight deck super lunch good choice wine ba best hopefully excellence also reflection new ceo departure alex cruz
545,"Not Verified |  Good flight but boarding was chaos, was gifted with the beautiful A10 gate at LHR T5(, so we were bussed to the plane (first time I've used a bus gate there). The A320 was at T3 at a gate with a jetway, nevertheless 168 passengers (full flight) boarded via steps - this caused an hour waiting at the ""gate"" as well as the baggage taking ages. Also the seat recline on G-GATL (9f) is broken.",4.0,2021-10-25,Italy,False,verified good flight boarding chaos gifted beautiful gate lhr bussed plane first time used bus gate gate jetway nevertheless passenger full flight boarded via step caused hour waiting gate well baggage taking age also seat recline g gatl f broken
546,"✅ Trip Verified |  Usual BA economy trip, pleasant crew. Complimentary snack and water and small bar service which has reasonable prices. I am not a fan of the new NEO aircraft. Very cramped seating and uncomfortable. The armrests between seats are tiny thin and short in length and offer little support for two people and not enough for one. Aisle width seems smaller and going to the toilets at the back seems awkward. I have done a transatlantic on this aircraft with another airline and it’s not for me. Other than that BA still offers a good product that can be good value or over priced. This time it was good value.",2.0,2021-10-24,United Kingdom,True,usual ba economy trip pleasant crew complimentary snack water small bar service reasonable price fan new neo aircraft cramped seating uncomfortable armrest seat tiny thin short length offer little support two people enough one aisle width seems smaller going toilet back seems awkward done transatlantic aircraft another airline ba still offer good product good value priced time good value
549,"✅ Trip Verified |  I have just returned from an amazing holiday and felt compelled to write a review. The flight is generally a torment for me being a nervous flyer, however, on this occasion it was an absolute delight. On both inward and outward journeys, I was impressed by the professionalism, friendliness and kindness of the cabin crew. I was in economy but was treated with the respect and service I would expect in the first class cabin. My particular thanks must go to Amir, who was absolute joy and a credit to British Airways. I cannot wait to fly again with you and that from me is huge, Thank you so so much.",10.0,2021-10-20,United Kingdom,True,returned amazing holiday felt compelled write review flight generally torment nervous flyer however occasion absolute delight inward outward journey impressed professionalism friendliness kindness cabin crew economy treated respect service would expect first class cabin particular thanks must go amir absolute joy credit british airway cannot wait fly huge thank much
550,"✅ Trip Verified |  The plane was clean and air quality very good. Timing was perfect. I was seated in 15 K. To begin with , I had difficulty using the buttons to get the leg rest up as well as push back the seat. When I requested a cup of tea just as the drink service started, I was told that tea would be served after dinner. I did press the loght twice to indicate my need and nothing happened. At dinner, there was no tea service. I did get up and go to the galley and ask for a cup of tea.  There was no hand soap in the washroom. However, on my way to London from Toronto, my experience was a good one. However, it was not the same on my return flight.",9.0,2021-10-19,Canada,True,plane clean air quality good timing perfect seated k begin difficulty using button get leg rest well push back seat requested cup tea drink service started told tea would served dinner press loght twice indicate need nothing happened dinner tea service get go galley ask cup tea hand soap washroom however way london toronto experience good one however return flight
551,✅ Trip Verified |  The service was excellent. The cabin staff were attentive and efficient. The food and drinks were very good. The seat in the new suites is extremely comfortable and the additional privacy is really nice. Overall a very enjoyable flight.,7.0,2021-10-18,United Kingdom,True,service excellent cabin staff attentive efficient food drink good seat new suite extremely comfortable additional privacy really nice overall enjoyable flight
552,"Not Verified |  I booked and paid for what I thought was a business class seat on a flight to Athens. What I got was a premium economy seat. The first nine rows were business class seats, rows 10 to 16 were what should have been the premium economy cabin (but had been added to the business class section) which had less comfortable seats that didn’t fully recline, unlike the seats in rows 1 to 9 (I was in row 11). This is not a case of me being snobby, but simply a point of principle and a clear case of BA mis-selling. Had I known prior that I would be paying the same business class price but for seats that were less comfortable than other business class passengers on the same flight, I wouldn’t have booked. I complained on board along with several other passengers who also resented being scammed in that way. I also made a formal complaint to BA but was fobbed off. Apparently this is a long running scam, I don’t know how they get away with it.",8.0,2021-10-16,United Kingdom,False,verified booked paid thought business class seat flight athens got premium economy seat first nine row business class seat row premium economy cabin added business class section le comfortable seat fully recline unlike seat row row case snobby simply point principle clear case ba mi selling known prior would paying business class price seat le comfortable business class passenger flight booked complained board along several passenger also resented scammed way also made formal complaint ba fobbed apparently long running scam know get away
553,"✅ Trip Verified |  Terrible customer service. Booked my flight before Covid. Couldn’t go, still can’t go as borders are still closed. I wasn’t given an option just told I have to take a voucher. Now I have no job and no plans to travel and they refuse to give me my money back although I booked for a flight for Cayman and I still haven’t been able to go. They cannot provide the service I paid for and refuse to refund me. They are not sympathetic or understanding.  The voucher is valid for another two years, I wonder how many flights will go up by then. I wonder how many more regulations there will be. I’ve been such a good customer and feel I deserve better. ",8.0,2021-10-14,United Kingdom,True,ble customer service booked flight covid go still go border still closed given option told take voucher job plan travel refuse give money back although booked flight cayman still able go cannot provide service paid refuse refund sympathetic understanding voucher valid another two year wonder many flight go wonder many regulation good customer feel deserve better
554,"✅ Trip Verified | This was my first flight during the pandemic, so it was understandable the difficulties facing airlines. Check-in was longer than normal due to the vaccine checks and passenger locator forms etc. But on the return flight, it was a total mess. Just two counters open for economy and one for business. There were arguments regarding vaccine checks, where two BA staff were contradicting each other. It took an hour and ten minutes just to check in, resulting in the flight delay. On board, I was not expecting great service.  Seating was extremely uncomfortable, 29 inch pitch and 17 inch wide seats - just about bearable for an hour and a half flight.  On board service was a packet of crisps and a small bottle of water from another, no eye contact with me just handed out. However, I was pleased that disembarking passengers were let out in groups, despite a few idiots who decided to stand a up to get their hand luggage out while the aircraft is was still taxing to the gate. The cabin crew did manage to force them back to their seats and close the lockers.",3.0,2021-10-07,United Kingdom,True,first flight pandemic understandable difficulty facing airline check longer normal due vaccine check passenger locator form etc return flight total mess two counter open economy one business argument regarding vaccine check two ba staff contradicting took hour ten minute check resulting flight delay board expecting great service seating extremely uncomfortable inch pitch inch wide seat bearable hour half flight board service packet crisp small bottle water another eye contact handed however pleased disembarking passenger let group despite idiot decided stand get hand luggage aircraft still taxing gate cabin crew manage force back seat close locker
555,"✅ Trip Verified | LCA to LHR in Club Europe. Quick check-in at LCA with speedy passport control and security. Aspire lounge was clean and spacious with reasonable buffet food and drink. Boarding by group and pushback on time. CE stretched back a full 15 rows and the single toilet struggled. Drinks and meal service was efficient despite the many rows, but the vegetarian option was the usual pasta splodge and reminiscent of economy of yore. Onboard W-Fi was adequate, if rather slow, and it shouldn't be charged for in business class. Arrival ahead of schedule. Disembarking en masse and through e-gates surprisingly quickly. Overall, a flight that was typical of the post-COVID standard for short-haul business class.",10.0,2021-10-07,United Kingdom,True,lca lhr club europe quick check lca speedy passport control security aspire lounge clean spacious reasonable buffet food drink boarding group pushback time ce stretched back full row single toilet struggled drink meal service efficient despite many row vegetarian option usual pasta splodge reminiscent economy yore onboard w fi adequate rather slow charged business class arrival ahead schedule disembarking en masse e gate surprisingly quickly overall flight typical post covid standard short haul business class
556,"Not Verified |  I had booked a flight from Heathrow on Friday 27th August 2021 to fly to Manchester Airport. On arrival at Heathrow to check in, the British Airways staff informed me that I had booked both flight seats in my name by mistake. I offered to pay a fee to get the second seat changed to my sister's name but British Airways refused us to board and sent us home. However, the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds. I never received these flight vouchers. I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me. They have no record that a staff member spoke to me and promised these vouchers, they say I was just a 'no show' which is inaccurate. I have sent numerous emails to BA explaining what happened and asking form my promised vouchers. I have had no response to my emails/messages. One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me. So ludicrous as I did not take her name and I doubt she would remember me since she sees hundreds of BA customers a day. ",6.0,2021-10-06,United Kingdom,False,verified booked flight heathrow friday th august fly manchester airport arrival heathrow check british airway staff informed booked flight seat name mistake offered pay fee get second seat changed sister name british airway refused u board sent u home however staff member spoke desk promised email u flight voucher would get shortly could fly another time ba since offer refund never received flight voucher chased numerous time phone ba staff said error flight voucher would sent record staff member spoke promised voucher say show inaccurate sent numerous email ba explaining happened asking form promised voucher response email message one ba staff member phone said track lady spoke heathrow ask remembers ludicrous take name doubt would remember since see hundred ba customer day
557,"✅ Trip Verified |  We have flown with BA for many years and never will again where there is an alternative. Booked and paid for Club class flights. Didn't receive a meal or drinks onboard, crew were so unorganised. We were delayed on the ground for 30 minutes prior to departing so they had plenty of time to prepare but the in-flight service was delayed once up in the air. They commenced the service, albeit very slowly, then abandoned it and closed the service altogether. The crew never even had the decency to speak to us to apologise in person or even over the tannoy.  Complained to BA and received an apology by email with the usual ""we fell short of our standards"" generic speech, but no offer of any partial refund or Avios to compensate for the lack of service. ",10.0,2021-10-05,United Kingdom,True,flown ba many year never alternative booked paid club class flight receive meal drink onboard crew unorganised delayed ground minute prior departing plenty time prepare flight service delayed air commenced service albeit slowly abandoned closed service altogether crew never even decency speak u apologise person even tannoy complained ba received apology email usual fell short standard generic speech offer partial refund avios compensate lack service
558,✅ Trip Verified |  The crew at Denver airport is top notch! So impressed with their customer service. They were very patient and courteous. Thank you all for being amazing.,1.0,2021-10-04,United States,True,crew denver airport top notch impressed customer service patient courteous thank amazing
562,"✅ Trip Verified | Such terrible service in Club World. Such indifference and lackadaisical attitude. Hardly any service. Everything has to be asked for and gotten. Asked for a cup of tea and had the flight say..'whaa' and then when I said cup of tea she said yes...asked if wanted milk and sugar. Brought to me lukewarm tea with 2 sugar sachets, no spoon or stirrer. Pushed the bell for stirrer and had to wait a full 3 mins before someone came by, eventually for a spoon and had to drink cold tea. Seriously BA...what are you doing? Is this how you welcome back people to fly?",1.0,2021-09-26,United Kingdom,True,terrible service club world indifference lackadaisical attitude hardly service everything asked gotten asked cup tea flight say whaa said cup tea said yes asked wanted milk sugar brought lukewarm tea sugar sachet spoon stirrer pushed bell stirrer wait full min someone came eventually spoon drink cold tea seriously ba welcome back people fly
566,"✅ Trip Verified |  No refund for flights cancelled 14 months ago but provided a ticket voucher valid until 30 April 2022. Tickets bought on Edreams on June 16, 2020 for a flight on July 7, 2020, from Geneva to São Paulo through London (British Airways), round trip. The LHR-GRU flight was cancelled without any explanation. I contacted both Edreams and BA a number of times in the last 14 months but they did not refund the 461 Euros that I paid.",1.0,2021-09-13,France,True,refund flight cancelled month ago provided ticket voucher valid april ticket bought edreams june flight july geneva paulo london british airway round trip lhr gru flight cancelled without explanation contacted edreams ba number time last month refund euro paid
567,✅ Trip Verified |  Stranded in the lounge because I wasn't allocated a seat. This for a flight that I booked months ago. I didn't want to use them but was forced to because Emirates wasn't available. I advise travelers to shun them too and look for more customer friendly options.,2.0,2021-09-11,Nigeria,True,stranded lounge allocated seat flight booked month ago want use forced emirate available advise traveler shun look customer friendly option
568,"✅ Trip Verified |  I think British Airways needs to be much clearer about what their Covid-19 ""travel flexibility"" really means, because it doesn't pass the common-sense test: I purchased a round-trip business class ticket from New York to-and-from Mykonos through London. I traveled there with no problem. The day before my return to New York, though, I took my Covid-19 test and learned that I tested positive. I tried to call the airline on the many usless numbers they provide on their website. The recorded message drones on and on about how they have no one to answer the phone because of Covid safety and simply says ""therefore we can't answer your call; try again."" No ability to leave a call-back number or a voicemail, etc. For whatever reason the BA website thought that I had bought the ticket through a third-party agent (I did not - I bought it on BA.com) and so wouldnt let me cancel or reschedule the flight on the web site. I called and called over the coming days and could not get through to the London, Athens or New York lines. Two days later after having 2 negative PCR tests (the most accurate test), I learned I was not positive and so had to buy a new $5000 return flight to the U.S. I've now been calling the BA USA customer service line for nearly a month at least every other day, never to get through. Finally did and have been told that the fact that I couldnt get on the flight because of a COVID scare counts for nothing. The fact they dont have enough people answering the phone counts for nothing. Or that I was unable to change the flight to a few days later on the web site becuase the ticket was mis-booked. They have offered that if I send them a Greek doctor's note saying that I was sick, then they'll give me a voucher for a future flight from Mykonos to New York. I am speechless at the stupidity of this whole situation. ",3.0,2021-09-09,United States,True,think british airway need much clearer covid travel flexibility really mean pas common sense test purchased round trip business class ticket new york mykonos london traveled problem day return new york though took covid test learned tested positive tried call airline many usless number provide website recorded message drone one answer phone covid safety simply say therefore answer call try ability leave call back number voicemail etc whatever reason ba website thought bought ticket third party agent bought ba com wouldnt let cancel reschedule flight web site called called coming day could get london athens new york line two day later negative pcr test accurate test learned positive buy new return flight u calling ba usa customer service line nearly month least every day never get finally told fact couldnt get flight covid scare count nothing fact dont enough people answering phone count nothing unable change flight day later web site becuase ticket mi booked offered send greek doctor note saying sick give voucher future flight mykonos new york speechless stupidity whole situation
569,"✅ Trip Verified |  My flight from Boston to Heathrow arrived in time, but I and other passengers were not allowed to disembark the plane. We were kept in the tarmac for one hour and a half without being given sufficient information about what was causing this delay. Because of this delay, I and other passengers lost the connecting flight to Tirana. I was offered another connecting flight which was 8 hours later from the time of arrival. When I booked this flight, one of the main reasons that made me choose it was the fact that the layover was a little bit more than an hour. Turning it into an 8 hour layover I think is unacceptable and very poor customer service. It shows lack of respect for your clients and lack of commitment by this company to provide to their customers what they were promised and what they paid for. I am very disappointed by this experience.",7.0,2021-09-08,United States,True,flight boston heathrow arrived time passenger allowed disembark plane kept tarmac one hour half without given sufficient information causing delay delay passenger lost connecting flight tirana offered another connecting flight hour later time arrival booked flight one main reason made choose fact layover little bit hour turning hour layover think unacceptable poor customer service show lack respect client lack commitment company provide customer promised paid disappointed experience
